Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link,Database
Gamified Learning For Sustainability: An Innovative Approach To Enhance Hydrogen Literacy And Environmental Awareness Through Simulation-Based Education,"Kramar, Uroš; Knez, Matjaž","The transition to sustainable energy systems presents a critical challenge for the 21st century, necessitating both technological advancements and transformative educational strategies to foster awareness and knowledge. Hydrogen technologies are pivotal for decarbonization, yet public understanding and acceptance remain limited. This study introduces and evaluates a novel gamified educational framework, uniquely integrating simulation-based learning, collaborative problem-solving, and adaptive instructional scaffolding to enhance hydrogen literacy and sustainability awareness. Unlike traditional pedagogical approaches, this method actively engages learners in real-world decision-making scenarios, bridging the gap between theoretical knowledge and practical applications. This study involved adolescents aged 13–15 from two distinct educational and cultural contexts, one in Europe and one in the Middle East. A pre–post study design assessed knowledge acquisition, gamification engagement, and environmental awareness shifts. Findings reveal statistically significant improvements in technical knowledge and strong positive perceptions of gamified learning as an effective sustainability education tool across both cultural groups (Europe and the Middle East). Variations in engagement across cultural contexts suggest the need for adaptive, context-sensitive educational frameworks. While the findings indicate significant short-term knowledge gains, this study does not assess long-term knowledge retention, which remains an important area for future research. This research contributes to sustainability education by demonstrating how strategically designed gamification can foster behavioral engagement, enhance environmental literacy, and support the global energy transition agenda. This study offers a pioneering perspective on integrating interactive learning methodologies to cultivate sustainability competencies among younger generations.",sustainability education; gamification; hydrogen literacy; energy transition; simulation-based learning; hydrogen supply chain; environmental awareness; cross-cultural education; educational innovation; serious games,Sustainability; Basel,Switzerland,2025,Scholarly Journal,English,https://doi.org/10.3390/su17062694,Publicly Available Content Database
Population-Based Structural Health Monitoring Of Bridges: Review And Challenges,"Yu, Zhong-ru1; Shan, De-shan1; Sun, Rong-hui11 School of Civil Engineering, Southwest Jiaotong University, Chengdu 610031, Sichuan, China","To solve the practical challenges faced in bridge structural health monitoring (BSHM), such as data scarcity, label deficiency, large operational environment variations, and high monitoring computational costs, the framework of population-based structural health monitoring (PBSHM) was systematically reviewed and summarized. A brief overview of the fundamental concepts of PBSHM was provided by thoroughly analyzing relevant studies reported in recent years. The definitions of different structural population types, including homogeneous populations and heterogeneous populations, were elaborated on from three perspectives: geometry, material, and topology. Key issues that PBSHM aims to solve were also summarized. Research status in the field of PBSHM was reviewed and analyzed in detail from two aspects: structural similarity measurement, and knowledge transfer methods and applications under different population types. Specific application scenarios and solution approaches under this framework were summarized, and the functions and connections of different technical methods were analyzed. In light of the practical engineering problems faced in the field of BSHM, the challenges and potential solutions for PBSHM of bridges were discussed. Review results indicate that structural populations form the basis of the PBSHM framework. Utilizing indicators of structural mechanical behavior similarity and data distribution similarity can effectively determine the knowledge transferability among bridge population members. Explicit transfer methods show good performance in anomaly monitoring and feature alignment for bridge structural populations, while implicit transfer methods based on deep neural network models exhibit stronger adaptability, which can automatically extract more representative features, meeting the end-to-end requirements in practical BSHM applications. Based on leveraging knowledge transfer technology, the PBSHM framework shows great potential in addressing issues such as differences in complex operational conditions, data imbalance impacts, damage identification, data prediction and generation, feature alignment, and normalization in bridge structural health monitoring tasks.",Empty,Jiaotong Yunshu Gongcheng Xuebao = Journal of Traffic and Transportation Engineering; Xi'an,China,Oct 2025,Scholarly Journal,English; Chinese,https://doi.org/10.19818/j.cnki.1671-1637.2025.05.001,"ProQuest One Applied & Life Sciences,SciTech Premium Collection"
Unveiling The Digital Future: Perspectives Of Hungarian Physicians Under 35 Years Old On Ehealth Solutions,"Győrffy, Zsuzsa1; Döbrössy, Bence2; Boros, Julianna3; Girasek, Edmond21 Faculty of Medicine, Institute of Behavioral Sciences, Semmelweis University, Budapest, Hungary, Department of Family Medicine, Faculty of Medicine, Semmelweis University, Budapest, Hungary2 Faculty of Medicine, Institute of Behavioral Sciences, Semmelweis University, Budapest, Hungary3 Faculty of Medicine, Institute of Behavioral Sciences, Semmelweis University, Budapest, Hungary, Hungarian Demographic Research Institute, Budapest, Hungary","Background The COVID-19 pandemic has catalysed the emergence of digital solutions in all areas of medicine. Our prior study on the digital health related experiences and opinions of Hungarian physicians highlights the crucial role of age in shaping attitudes towards digital health solutions among medical doctors. Our aim was to examine how under 35-year-old Hungarian physicians relate to digital technologies, the advantages and disadvantages they perceive, and how they would like to incorporate these technologies into their everyday medical practice. Methods As part of the “E-physicians and E-patients in Hungary” study, we conducted an online representative survey among medical practitioners in Hungary between July 2021 and May 2022 ( n  = 1,774). The main target group of our research were physicians under 35 years of age: n  = 399 (25.3%). Besides descriptive statistical analyses, cluster analysis and binary logistic regression were applied to analyse the digital health related attitudes of the young age group. Results Our cluster analysis confirmed that younger doctors perceived more advantages (on average 7.07 items vs. 8.52 items) and disadvantages (on average 4.06 vs. 4.42) of digital health solutions. They also demonstrated greater familiarity with (8.27 vs. 9.79) and use of (1.94 vs. 2.66) a broader spectrum of technologies. Proficiency and active utilization of diverse technologies correlates with a more comprehensive understanding of both pros and cons, as well as a more realistic self-assessment of areas of further improvement. Doctors under 35 years express a notable demand for significantly increased incentives, both in terms of knowledge transfer/training and infrastructure incentives. Multivariate analyses revealed that young doctors, compared to their older counterparts, perceived enhanced patient adherence as one of the greatest benefits of digital health solutions. Additionally, young doctors expect that digital health solutions could reduce burnout. Conclusion Our results underscore the inevitable transformation of the 21st-century physician role: the success of digital health solutions hinges on active patient involvement and management, which requires proper patient education and professional support in navigating the digital space. Digital health solutions can be a bridge between different generations of doctors, where young people can help their older colleagues navigate the digital world.",digital health; young doctors; adherence; paradigm shift; participatory medicine; e-physcians; burnout,Frontiers in Digital Health; Lausanne,Switzerland,Jan 2025,Scholarly Journal,English,https://doi.org/10.3389/fdgth.2024.1464642,"Publicly Available Content Database,ProQuest One Health & Nursing,Coronavirus Research Database"
Enhancement Algorithm And Adaptive Generation Method Of Practical Writing For Cross-Domain Scenarios,"Zhai, Junlin1; Zhou, Zhuoying11 Wuhan Railway Vocational College of Technology,Wuhan,Hubei,China,430205","Conference Title: 2025 2nd International Conference on Telecommunications and Power Electronics (TELEPE) Conference Start Date: 2025 May 29 Conference End Date: 2025 May 31 Conference Location: Frankfurt, Germany With the increasingly frequent cross-disciplinary cooperation, practical writing faces many challenges, such as knowledge differences, diverse norms and different styles. In this paper, an enhancement algorithm and adaptive generation method of practical writing for cross-domain scenes are proposed, aiming to help writers cross domain barriers and achieve efficient and accurate writing. The overall framework of the algorithm covers four modules: data preprocessing, domain adaptation, text generation and post-processing. Among them, the domain adaptive module uses deep learning technology, pre-trained BERT model and CNN to extract domain features, and realizes knowledge transfer through domain adaptive technology and antagonistic training; Text generation module combines template and generation strategy, and introduces GPT language model to optimize text. The experiment takes legal documents and business mail data sets as examples, and the results show that the algorithm can effectively generate practical texts that meet the specifications and styles of the target domain.",Deep learning; Training; Adaptation models; Accuracy; Data preprocessing; Writing; Feature extraction; Power electronics; Telecommunications; Business; cross-domain scenarios; adaptive generation; enhancement algorithm; practical writing,"The Institute of Electrical and Electronics En gineers, Inc. (IEEE) Conference Proceedings; Piscataway",United States,2025,Conference Paper,English,https://doi.org/10.1109/TELEPE66277.2025.00074,"ProQuest One Sustainability,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
Ehapzero: Ensemble Hierarchical Attribute Prompting-Based Zero-Shot Learning For Pest Recognition,"Yang, Chengrong1    ; Jin, Qiwen2    ; Wang, Yaowei1    ; Zhou, Yujue2    ; Lan, Dapeng3; Yang, Yun2    1 School of Information Science and Engineering and the Yunnan Key Laboratory of Software Engineering, Yunnan University, Kunming, China2 National Pilot School of Software and the Yunnan Key Laboratory of Software Engineering, Yunnan University, Kunming, China3 Shenyang Institute of Automation, Shenyang, China","Pest recognition is of great significance for achieving sustainable development in agriculture. Nevertheless, due to the wide variety of pest species, subtle interspecies differences, and significant intraspecies variations, existing artificial intelligence and Internet of Things (IoT) technologies can only recognize a small number of known pests effectively. In this article, we propose a zero-shot learning pest recognition framework based on ensemble hierarchical attribute prompting, termed EHAPZero. EHAPZero can identify pest images collected by IoT devices, and then transmit the recognition results to the IoT platform for terminal display. Specifically, the image recognition function is implemented by an attribute generation module (AGM), a hierarchical prompting module (HPM), and a semantic-visual interaction module (SVIM). AGM utilizes large language models to construct a knowledge graph of pests. It employs both node importance evaluation algorithms and manual methods to perform dual filtering on attribute nodes within the graph. Inspired by human knowledge reasoning, HPM dynamically predicts different hierarchical attributes of input images within the Transformer intermediate blocks. These predicted attributes are subsequently injected into the intermediate layer features of the Transformer as prompts. To achieve semantic disambiguation and knowledge transfer, SVIM employs a visual-guided semantic representation method and a semantic-guided visual representation method to strengthen cross-domain interaction between semantics and vision. Finally, the final prediction score is derived through ensemble of prediction results across different levels. Extensive experiments show that EHAPZero achieves the new state-of-the-art results on the real-word pest recognition benchmark. The codes are available at: https://github.com/jinqiwen/EHAPZero .",Empty,IEEE Internet of Things Journal; Piscataway,United States,2025,Scholarly Journal,English,https://doi.org/10.1109/JIOT.2024.3472079,"ABI/INFORM Collection,ProQuest One Business,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
Integrating Genai Into Corporate Knowledge Management: A Socio-Technical Approach To Overcoming Knowledge Management Challenges,"Kretschmer, Maria; Orth, Ronald","The growing importance of Artificial Intelligence (AI), especially Generative AI (GenAI), is revolutionising the way knowledge is handled and opening up enormous potential for corporate knowledge management (KM). The rapid development of Large Language Models (LLM) and complementary technologies such as Retrieval Augmented Generation (RAG) or knowledge graphs opens up new opportunities for corporate KM, but also presents companies with complex challenges and barriers. This study examines the integration of genAI into corporate KM, taking into account a holistic sociotechnical approach. A AI4KM survey was designed to capture the current state of AI use by asking companies about their use of AI technologies. The survey aims to gain insights into the practical implementation of AI solutions, particularly in relation to KM challenges. Based on the results of the AI4KM survey, a socio-technical TOP approach (Technology - Organisation - People) for the introduction of AI-based KM will be developed, which takes into account not only technical, but also organisational and people-related aspects. By addressing these three factors, the study aims to provide a comprehensive framework that ensures the successful adoption of AI technologies in diverse business environments. Specific recommendations for the development of an effective, holistic AI strategy in KM are developed for the various barriers. Among other things, the importance of human-machine interaction will be emphasised in order to create a seamless link between human expertise and machine intelligence. The results of these studies should help companies, especially small and medium-sized enterprises (SME), to effectively use genAI technologies for their KM, to counteract the loss of knowledge due to demographic change and to increase their competitiveness. The combination of theoretical findings and practical recommendations will build a bridge between research and business practice, contributing to the successful integration of AI into corporate KM and equipping companies for the challenges of the future.","Generative AI (GenAI), Corporate knowledge management, Knowledge management challenges, Socio-Technical approach, Human-Machine interaction",European Conference on Knowledge Management; Kidmore End,United Kingdom,Sep 2025,Conference Paper,English,Empty,"ABI/INFORM Collection,ProQuest One Business,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
"Cheese Ek-Book: A New Web-Based Medium For Capitalising On, Structuring And Transferring Cheesemaking Knowledge And   Know-How","Baudrit, Cédric1    ; Fernandez, Christophe1; Couteaux, Julien2; Buche, Patrice3; Bel, Nadege4; Charles, Cecile4; Notz, Eric51 Univ. Bordeaux, CNRS, INRAE, INP, I2M, UMR 5295, USC 1368, Bordeaux, France2 DOCAMEX, Bordeaux, France3 IATE, INRAE, Institut Agro, Univ Montpellier, Montpellier, France4 ACTALIA, Unité Produits Laitiers, Pôle Technologie Fromagère, Annecy, France5 CTFC, Centre Technique des Fromages Comtois, Poligny, France","Purpose This paper aims to address the challenges faced by the cheese industry, particularly concerning the preservation and transfer of traditional cheesemaking knowledge. It emphasises the need for innovative solutions in sustainably managing knowledge and skills amidst changing demographic and technological landscapes. Design/methodology/approach Our approach consists of developing and implementing a digital tool, the cheese eK-Book, which is designed to capture, structure and disseminate cheesemaking knowledge. This tool is based on a semantic network and is accessible via smartphones and tablets and aims to facilitate continuous learning, knowledge transfer and collaboration across diverse stakeholders in the cheese production sector. Findings The study highlights several critical findings. Traditional cheesemaking knowledge is currently at risk due to a number of factors, including the ageing of skilled workers, a lack of succession planning and pressures from globalisation and industrialisation. The European dairy sector is evolving towards more specialised and automated production, requiring a skilled workforce capable of adapting to these changes. There is a significant gap between traditional cheese makers and research institutions, hindering the adoption of new technologies and best practices. The cheese eK-Book offers a promising solution to these challenges by preserving knowledge, supporting continuous learning and enhancing collaboration between industry stakeholders and educational/research institutions. The tool facilitates access to scientific knowledge, promotes work–life balance by offering a range of flexible learning opportunities and supports tailored training programmes based on individual users’ needs. Originality/value This article contributes original insights by proposing a comprehensive digital solution tailored to the specific, current needs of the cheese industry. By integrating modern technology with traditional knowledge, the cheese eK-Book not only preserves expertise but also fosters innovation and sustainability within the sector. It bridges the gap between practical cheesemaking skills and contemporary scientific understanding, addressing critical challenges such as knowledge retention, succession planning and workforce development in a rapidly evolving industry landscape. The strength of the Cheese eK-Book lies in its capacity to communicate knowledge, traditions and teachings across generations. This transfer of knowledge and skills plays a crucial role in preserving heritage and fostering connections across different generations within a community.",Empty,Journal of Documentation; Bradford,United Kingdom,2025,Scholarly Journal,English,https://doi.org/10.1108/JD-07-2024-0182,"ABI/INFORM Collection,ProQuest One Visual Arts & Design,ProQuest One Business,ProQuest One Applied & Life Sciences,SciTech Premium Collection,ProQuest One Social Sciences"
Drivers Of Academic Engagement And University–Industry Collaboration In Conditions Of Slovakia,"Hrivnák, Michal; Jarábková, Jana","Universities have been perceived for several decades as an important development factor in the space that shapes the regional environment throughout the generation of new knowledge or technologies and the production of human capital. Our paper focuses on the less researched phenomenon of academic engagement, and thus, the development of university knowledge transfer based on interpersonal links between researchers and application actors from an academic perspective. This empirical study evaluates the results of a nationwide survey of academic researchers devoted to unhiding various aspects of formal and informal cooperation on an interpersonal basis. Using an econometric approach, the study investigates determinants of academic engagement of individual researchers and describes patterns of formal and informal ties between academics and businesses. The results explain which researchers participate in academic engagement activities and elaborate on the motivations and barriers of university–industry cooperation at the level of the individual. We also identified a significant volume of informal dissemination of knowledge of universities in the space via various channels.",university; academic engagement; university–industry collaboration; knowledge diffusion; Knowledge transfer; University; Industry; Slovakia,Administrative Sciences; Basel,Switzerland,2022,Scholarly Journal,English,https://doi.org/10.3390/admsci12040128,"ABI/INFORM Collection,ProQuest One Business,Publicly Available Content Database,Coronavirus Research Database,ProQuest One Social Sciences"
Privacy Preservation Of Cloud Data In Business Application Enabled By Multi-Objective Red Deer-Bird Swarm Algorithm,"Balashunmugaraja, B1; Ganeshbabu, TR21 Computer Science and Engineering, SRI Venkateswara Institute of Science & Technology, India2 Electronics and Communication Engineering, Muthayammal Engineering College, India","Decision-making is one of the important deals in knowledge transfer and it can be useful for the multi-source domains. Meanwhile, the existing knowledge transfer schemes do not use privacy-preserving techniques for preserving security. This can be a problem for critical domains like financial market forecasting as the misuse of security can lead to legal and financial implications. In recent years, cloud services have revolutionized various technological applications. Cloud computing has become more popular with digital technologies as it provides uninterrupted services like transmission, storage, and intensive computing of data. The architecture of the cloud is also cost-efficient. Besides, various promising services from the cloud, some challenges need to be addressed to secure the privacy of the cloud users as millions of users access its services. Privacy preservation is an important aspect in the field of data mining, and the necessity of securing important data in the cloud from hackers is on the rise. Privacy-preserving data mining algorithms have been analyzed over recent years to provide sufficient solutions for securing the privacy of the data in the cloud. This paper plans to introduce a new hybrid meta-heuristic concept for developing a privacy preservation strategy towards business data under the cloud sector. The main objective of this paper is to design a new hybrid red deer-bird swarm algorithm (RD-BSA) to ensure higher convergence and since the use of control parameters over the solution generation is minimized. The proposed privacy preservation scheme on three financial databases is evaluated with the performance against the existing privacy preservation schemes. Different analyses like statistical, key sensitivity, Known-Plaintext Attack (KPA), and Chosen-Plaintext Attack (CPA) are used for evaluating the efficiency of the algorithm. The comparative analysis of the proposed model over the conventional models demonstrates its effective performance via diverse analysis.",Knowledge transfer; Privacy; Cloud computing; Data mining,Knowledge-Based Systems; Amsterdam,United Kingdom,"Jan 25, 2022",Scholarly Journal,English,https://doi.org/10.1016/j.knosys.2021.107748,"ProQuest One Applied & Life Sciences,SciTech Premium Collection,ProQuest One Social Sciences"
Children'S Perception Of Urban Green Infrastructure And Nature-Related Digital Tools,"Yin, Shengchen; Kasraian, Dena; Wesemael, Pieter van","ENG English ENG Urban green infrastructure (UGI) is an interconnected green network of multifunctional ecological systems in or around urban areas, playing a vital role in children's physical and cognitive development. Children's reduced interaction with UGI is partly attributed to their growing reliance on digital technology, yet digital interventions could positively influence this interaction. However, the influence of digital technology on children's perceptions of UGI remains understudied. This study aims to identify facilitators and barriers to children-nature interaction from their perspectives, examine the determinants of children's perception of connection to nature, and explore their perception of the UGI depending on their age, gender, and the presence or absence of a nature-related digital tool. A total of 153 children aged 8–12 and 109 parents participated in this study in Apeldoorn, the Netherlands. Children explored a UGI route using either a GPS-based application, or a guide and a map. Children identified playing with peers and families as a facilitator of their interaction with nature and the use of digital tools as a barrier. The results show that children's perception of connection to nature is higher among girls, and positively correlates with their parents' perception of connection to nature and attitudes towards its benefits. Children's perception of connection to nature increases after a nature-related activity across all groups, with boys and older children showing greater improvement. For knowledge transfer and creating an engaging environment, a knowledgeable and enthusiastic tour guide still outperforms a digital tool. Our findings provide insights for urban designers, policy makers, and digital intervention developers to create child-friendly UGIs and digital technologies that enhance interaction with it.",Children; Urban green infrastructure; Perception; Connection to nature; Nature-related digital tools; Case study; article; article,Journal of Environmental Psychology,Empty,2025,Scholarly Journal,English,https://doi.org/10.1016/j.jenvp.2025.102565,"ProQuest One Sustainability,SciTech Premium Collection"
Athena - The Nsf Ai Institute For Edge Computing,"Chen, Yiran1; Banerjee, Suman2; Daily, Shaundra1; Krolik, Jeffery1; Li, Hai Helen1; Limbrick, Daniel; Pajic, Miroslav; Runton, Rajashi; Zhong, Lin1 Department of Electrical and Computer Engineering, Duke University, North Carolina, USA2 Department of Computer Sciences, University of Wisconsin, Wisconsin, USA","The National Science Foundation (NSF) Artificial Intelligence (AI) Institute for Edge Computing Leveraging Next Generation Networks (Athena) seeks to foment a transformation in modern edge computing by advancing AI foundations, computing paradigms, networked computing systems, and edge services and applications from a completely new computing perspective. Led by Duke University, Athena leverages revolutionary developments in computer systems, machine learning, networked computing systems, cyber-physical systems, and sensing. Members of Athena form a multidisciplinary team from eight universities. Athena organizes its research activities under four interrelated thrusts supporting edge computing: Foundational AI, Computer Systems, Networked Computing Systems, and Services and Applications, which constitute an ambitious and comprehensive research agenda. The research tasks of Athena will focus on developing Al-driven next-generation technologies for edge computing and new algorithmic and practical foundations of AI and evaluating the research outcomes through a combination of analytical, experimental, and empirical instruments, especially with target use-inspired research. The researchers of Athena demonstrate a cohesive effort by synergistically integrating the research outcomes from the four thrusts into three pillars: Edge Computing AI Systems, Collaborative Extended Reality (XR), and Situational Awareness and Autonomy. Athena is committed to a robust and comprehensive suite of educational and workforce development endeavors alongside its domestic and international collaboration and knowledge transfer efforts with external stakeholders that include both industry and community partnerships.",Empty,AI Magazine; La Canada,United States,Spring 2024,Scholarly Journal,English,https://doi.org/10.1002/aaai.12147,"ABI/INFORM Collection,ProQuest One Sustainability,ProQuest One Business,ProQue st One Applied & Life Sciences,SciTech Premium Collection,ProQuest One Social Sciences"
Beyond Seci Model: Custodian–Successor Roles In Tk Transfer In Construction Academia,"Tomiczak, Katarzyna11 Faculty of Management, Warsaw University of Technology, Poland","This paper presents the first results of a doctoral research project on the management of scientific tacit knowledge of employees with long scientific seniority (LSS), defined as 25+ years post-doctorate, focusing on knowledge transfer in the academic environment related to construction. The primary goal of this doctoral research is to create a model that supports the transfer of LSS tacit knowledge to other employees. The research question is: How should the tacit knowledge of LSSs be managed to preserve and pass their legacy on to younger generations? The SECI knowledge spiral model was adopted as the foundation for the development of the proposed model. However, the classical SECI framework has been extended by incorporating two critical roles: The Custodian, responsible for preserving, structuring, and documenting the tacit knowledge of LSS; and The Successor, an individual actively acquiring and applying tacit knowledge in practice, ensuring its continuity in scientific work. The model was developed based on a triangulated research approach combining an online survey, in-depth interviews, and an extended literature review. Thirteen research organisations participated in the study: six from Poland and seven from Europe. 52 completed surveys were obtained (100%) and 51 interviews were conducted (98%). The results were subjected to both qualitative and quantitative analysis. The proposed model operationalises tacit knowledge transfer through a structured process aligned with the SECI phases: socialisation, externalisation, combination, and internalisation, adapted to the realities of scientific institutions. It introduces mechanisms for actively acquiring and preserving knowledge through a combination of traditional methods such as mentoring and coaching, and modern technological solutions, ensuring that the legacy of experienced researchers remains accessible and functional for future generations. This study contributes by proposing a structured, role-based framework that enhances the practical applicability of tacit knowledge management in construction academia. The paper concludes by discussing the practical applications of the model and its potential for broader adaptation to knowledge-intensive institutions.","Tacit knowledge management, Long Scientific Seniority (LSS), Knowledge transfer, Construction academia, SECI model adaptation",European Conference on Knowledge Management; Kidmore End,United Kingdom,Sep 2025,Conference P aper,English,Empty,"ABI/INFORM Collection,ProQuest One Business,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
From Learner To Innovator: Knowledge Transfer From A Parent Mne And Foreign Subsidiaries’ Local Innovation,"Zhou, Nan1    ; Li, Jiatao2; Bai, Changhong3; Zhang, Dan41 Tongji University, School of Economics and Management, Advanced Institute of Business, Shanghai, China (GRID:grid.24516.34) (ISNI:0000 0001 2370 4535)2 Hong Kong University of Science and Technology, Management Department, School of Business and Management, Hong Kong, China (GRID:grid.24515.37) (ISNI:0000 0004 1937 1450)3 Nankai University, Business School, Tianjin, China (GRID:grid.216938.7) (ISNI:0000 0000 9878 7032)4 Patent Examination Cooperation (Beijing), CNIPA, Center of the patent office, Beijing, China (GRID:grid.216938.7)","Knowledge transfer from a parent multinational to a foreign subsidiary does not automatically lead to innovation in a host country. To develop from a learner into an innovator, a foreign subsidiary must develop sufficient absorptive capacity. But too much reliance on knowledge transferred from a multinational could hinder local innovation by generating resource constraints and organizational rigidity. We thus predict an inverted U-shaped relationship between knowledge transfer from a parent multinational and local innovation. Moreover, factors which influence the transition from learner to innovator were investigated using data on patent applications by foreign subsidiaries of 75 large multinationals in China between 2008 and 2016. The number of research and development centers the subsidiary maintains was found to be influential, as is hiring a local executive as the subsidiary’s top manager. Greater institutional distance between the parent’s and the subsidiary’s economies was found to promote the transition, as do greater technological richness and more vigorous competition in the host country. The relationship between knowledge transfer from a parent multinational and local innovation is weaker, however, in older subsidiaries.",Empty,Management International Review; Wiesbaden,Netherlands,Feb 2024,Scholarly Journal,English,https://doi.org/10.1007/s11575-023-00512-6,"ABI/INFORM Collection,ProQuest One Business,ProQuest One Health & Nursing,ProQuest One Social Sciences"
Better Together? Examining Benefits And Tensions O F Generational Diversity And Team Performance,"Becker, Karin L1; Richards, Melanie B2; Stollings, Jessica31 U.S. Air Force Academy, Colorado Springs, USA2 East Tennessee State University, Johnson City, USA3 ReGenerations, Franklin, USA","Age is the most dominant form of diversity in the workplace. Five generations are currently represented in the workplace, with each one having their own perspectives and communication styles. Workplace teams are most likely to be comprised of members from multiple generations, yet research is inconclusive regarding how age diversity is impacting productivity and team performance. To examine preferences of working in teams comprising same generation or different generation members, a survey was disseminated to a sample of employees across various organizations in the current workforce, ages 18 and up. The survey examined perceptual generational differences regarding work ethic, communication styles, technology, culture and diversity, and other core values. Results indicate employees value generational diversity and believe generationally diverse teams increase team performance. However, findings indicate tensions are likely to occur when working in generationally diverse teams, including the ability to communicate and transfer knowledge. This research identifies the growing desire for generational diversity in the workforce and points out where investments in training and resources are needed to support knowledge transfer, optimize strengths, and ensure communication is heard and understood by all.",Generational diversity; Technology; Work ethic; Team; Diversity; Culture; intergenerational; team performance; millennials; workplace preferences,Journal of Intergenerational Relationships; Abingdon,United Kingdom,Oct 2022,Scholarly Journal,English,https://doi.org/10.1080/15350770.2020.1837708,"Sociological Abstracts,ProQuest One Psychology,ProQuest One Social Sciences"
The Value Of Reverse Knowledge Transfer: Case Of Austrian Bank In Slovakia,"Ferencikova, Sonia1; Krajcik, Daniel1; Zabojnik, Sta nislav11 University of Economics in Bratislava, Slovakia","This research focuses on reverse knowledge transfer from Central Europe to Western Europe by analyzing the contribution of a specific Slovak subsidiary to MNC knowledge. It explores the first digital bank created in Slovakia, its origin, expectations, results, and expertise transmitted from the daughter company to the Austrian headquarters. The paper analyses the situation of Raiffeisen Bank International, headquartered in Vienna, and its digital daughter company ZUNO founded in Slovakia in 2010. It identifies the learnings transferred to the parent in digital banking, marketing, operational, HR, and strategic management. The authors also study subsidiary integration within MNC, alignment of its structure and processes with the parent and conclude that the new knowledge generation was especially valuable in digital banking, at work with new client segments, in implementing new forms of marketing, working with new technologies, creating new structures, and transferring them to the other foreign markets.",Knowledge; Knowledge transfer; Slovakia,Journal of Eastern European and Central Asian Research; Minneapolis,United States,2023,Scholarly Journal,English,https://doi.org/10.15549/jeecar.v10i5.1253,"ABI/INFORM Collection,ProQuest One Business,Publicly Available Content Database,ProQuest One Social Sciences"
Multidimensional Sustainability Assessment Of Rice Farming Systems Inbali: Atrihitakarana-Based Approach Fortraditional Agricultural Development,"Dewi, Ratna Komala1; Paramarta, Pande Made Ari Ananta21 Magisterof AgribusinessStudyProgram,FacultyofAgriculture,UdayanaUniversity,Bali, Indonesia2 Agribusiness Study Program, Faculty of Agriculture and Business, Dwijendra University, Bali, Indonesia","Tabanan Regency, Bali's primary rice-producing region, faces critical sustainability challenges including accelerated agricultural land conversion (2.92% annually) and demographic transitions with 70% of farmers exceeding 60 years of age. This study evaluates rice farming sustainability and develops evidence-based strategies grounded in the Tri Hita Karana (THK) philosophical framework. The research employed Multidimensional Scaling methodology through the Rapid Appraisal for Farm approach to assess sustainability across ecological, economic, social, technological, and institutional dimensions. Data were collected through structured interviews with 15 key informants and field observations in two subaks within the Yeh Empas irrigation system. Results indicate an overall sustainability index of 66.50% (moderately sustainable). Dimensional analysis revealed ecological (63.42%) and social (63.59%) as most vulnerable, while technological dimension achieved highest performance (71.42%). Leverage analysis identified five critical determinants: price stability (4.88), irrigation efficiency (4.53), intergenerational knowledge transfer (4.50),spatialplanningclarity(4.49),andawig-awigcontinuity(4.39).Monte Carlo validation confirmedmodelreliabilitywithdeviationsbelow2%. Five integrated strategies are proposed based on THK principles: institutional strengthening through spatial planning integration, youth engagement with traditional knowledge preservation, formal recognition of customary governance, market stabilization with digital cooperatives, and irrigation modernization with participatory management. This study contributes novel insights by demonstrating balanced sustainability in traditional systems, establishing economic centrality in multidimensional frameworks, and providing replicable methodology for integrating indigenous knowledge with scientific assessment.","sustainability assessment, rice farming, Tri Hita Karana, subak system, traditional agriculture, Bali",Lex Localis; Maribor,Slovenia,2025,Scholarly Journal,English,Empty,ProQuest One Social Sciences
